age,sex,qx
89,both,0.11017
90,both,0.12379
91,both,0.13885
92,both,0.15504
93,both,0.17234
94,both,0.19072
95,both,0.21188
96,both,0.23216
97,both,0.2533
98,both,0.27515
99,both,0.29752
100,both,0.32023
101,both,0.34306
102,both,0.3658
103,both,0.38824
104,both,0.41017
105,both,0.43143
106,both,0.45185
107,both,0.47129
108,both,0.48967
109,both,0.5069
110,both,1
